Name,Family,Max Thickness (%),x-Locationof Max Thickness (%),Camber (%),Data Sources,Cl max,Cl/Cd max,Cd @ Cl=0.1,Cd @ Cl=0.4,Cd @ Cl=0.6
GA 35-215,Riblett 35-series,15,33.8,1.8,JF XF,1.47,114,0.005,0.005,0.005
GA 35-216,Riblett 35-series,14,33.8,1.8,JF XF,1.53,121,0.005,0.005,0.006
GA 35-217,Riblett 35-series,17,33.8,1.8,JF XF,1.6,118,0.005,0.005,0.006
GA 35-218,Riblett 35-series,18,33.8,1.8,JF XF,1.66,124,0.005,0.005,0.006
GA 35-219,Riblett 35-series,17,33.8,1.8,JF XF,1.72,123,0.005,0.005,0.006
GA 35-220,Riblett 35-series,20,33.8,1.8,JF XF,1.79,126,0.005,0.005,0.006
GA 35-310,Riblett 35-series,20,33.8,1.8,JF XF,1.22,128,0.006,0.005,0.005
GA 35-311,Riblett 35-series,10,33.8,2.5,JF XF,1.3,128,0.005,0.005,0.005
GA 35-312,Riblett 35-series,12,33.8,2.5,JF XF,1.35,125,0.005,0.005,0.005
GA 35-313,Riblett 35-series,11,33.8,2.5,JF XF,1.42,132,0.005,0.005,0.005
GA 35-314,Riblett 35-series,13,33.8,2.5,JF XF,1.48,132,0.005,0.005,0.005
GA 35-315,Riblett 35-series,15,33.8,2.5,JF XF,1.54,131,0.005,0.005,0.006
GA 35-316,Riblett 35-series,14,33.8,2.5,JF XF,1.6,134,0.005,0.005,0.006
GA 35-317,Riblett 35-series,16,33.8,2.5,JF XF,1.67,134,0.005,0.005,0.006
GA 35-318,Riblett 35-series,18,33.8,2.5,JF XF,1.73,137,0.005,0.005,0.006
GA 35-319,Riblett 35-series,17,33.8,2.5,JF XF,1.79,137,0.005,0.006,0.006
GA 35-320,Riblett 35-series,19,33.8,2.5,JF XF,1.86,137,0.005,0.005,0.006
GA 35-410,Riblett 35-series,20,33.8,2.5,JF XF,1.28,157,0.006,0.005,0.005
GA 35-411,Riblett 35-series,10,33.8,3.3,JF XF,1.37,153,0.006,0.005,0.005
GA 35-412,Riblett 35-series,12,33.8,3.3,JF XF,1.43,148,0.006,0.005,0.005
GA 35-413,Riblett 35-series,11,33.8,3.3,JF XF,1.49,148,0.006,0.005,0.005
GA 35-414,Riblett 35-series,13,33.8,3.3,JF XF,1.55,149,0.006,0.005,0.005
GA 35-415,Riblett 35-series,15,33.8,3.3,JF XF,1.62,147,0.005,0.005,0.006
GA 35-416,Riblett 35-series,14,33.8,3.3,JF XF,1.68,147,0.005,0.005,0.005
GA 35-417,Riblett 35-series,17,33.8,3.3,JF XF,1.74,143,0.005,0.005,0.006
GA 35-418,Riblett 35-series,18,33.8,3.3,JF XF,1.8,144,0.005,0.006,0.006
GA 35-419,Riblett 35-series,17,33.8,3.3,JF XF,1.87,150,0.006,0.005,0.006
GA 35-420,Riblett 35-series,19,33.8,3.3,JF XF,1.93,148,0.006,0.005,0.006
GA 35-610,Riblett 35-series,20,33.8,3.3,JF XF,1.41,181,0.006,0.005,0.005
GA 35-611,Riblett 35-series,10,33.8,4.5,JF XF,1.49,175,0.006,0.005,0.005
GA 35-612,Riblett 35-series,12,33.8,4.5,JF XF,1.53,176,0.006,0.005,0.005
GA 35-613,Riblett 35-series,11,33.8,4.5,JF XF,1.6,171,0.006,0.005,0.005
GA 35-614,Riblett 35-series,13,33.8,4.5,JF XF,1.67,161,0.006,0.005,0.005
GA 35-615,Riblett 35-series,15,33.8,4.5,JF XF,1.74,159,0.006,0.005,0.005
GA 35-616,Riblett 35-series,14,33.8,4.5,JF XF,1.81,165,0.006,0.005,0.005
GA 35-617,Riblett 35-series,16,33.8,4.5,JF XF,1.88,164,0.006,0.005,0.006
GA 35-618,Riblett 35-series,18,33.8,4.5,JF XF,1.95,162,0.007,0.005,0.006
GA 35-619,Riblett 35-series,17,33.8,4.5,JF XF,2.02,164,0.007,0.006,0.006
GA 35-620,Riblett 35-series,19,33.8,4.5,JF XF,2.08,160,0.006,0.006,0.006
GA 35A010,Riblett 35-series,10,35.8,0,JF XF,0.91,88,0.005,0.007,0.109
GA 35A011,Riblett 35-series,11,35.8,0,JF XF,0.97,93,0.005,0.007,0.008
GA 35A012,Riblett 35-series,12,35.8,0,JF XF,1.04,92,0.005,0.006,0.008
GA 35A013,Riblett 35-series,13,35.8,0,JF XF,1.1,88,0.006,0.006,0.008
GA 35A014,Riblett 35-series,14,35.8,0,JF XF,1.16,93,0.006,0.006,0.008
GA 35A015,Riblett 35-series,15,35.8,0,JF XF,1.21,93,0.006,0.006,0.008
GA 35A016,Riblett 35-series,16,35.8,0,JF XF,1.27,90,0.006,0.007,0.008
GA 35A017,Riblett 35-series,17,35.8,0,JF XF,1.33,93,0.006,0.007,0.008
GA 35A018,Riblett 35-series,18,35.8,0,JF XF,1.39,91,0.006,0.006,0.008
GA 35A019,Riblett 35-series,19,35.8,0,JF XF,1.46,92,0.006,0.007,0.008
GA 35A020,Riblett 35-series,20,35.8,0,JF XF,1.53,89,0.007,0.007,0.008
GA 35A210,Riblett 35-series,20,33.8,4.5,JF XF,1.15,107,0.006,0.005,0.006
GA 35A211,Riblett 35-series,10,35.8,1.8,JF XF,1.24,106,0.005,0.006,0.006
GA 35A212,Riblett 35-series,12,35.8,1.8,JF XF,1.32,105,0.005,0.005,0.006
GA 35A213,Riblett 35-series,13,35.8,1.8,JF XF,1.38,110,0.005,0.006,0.006
GA 35A214,Riblett 35-series,13,35.8,1.8,JF XF,1.43,110,0.006,0.006,0.006
GA 35A215,Riblett 35-series,15,35.8,1.8,JF XF,1.48,109,0.006,0.006,0.006
GA 35A216,Riblett 35-series,16,35.8,1.8,JF XF,1.54,106,0.006,0.006,0.006
GA 35A217,Riblett 35-series,16,35.8,1.8,JF XF,1.6,106,0.006,0.006,0.007
GA 35A218,Riblett 35-series,18,35.8,1.8,JF XF,1.66,109,0.006,0.006,0.007
